2026-05-28T16:31:50.496361+0300 | INFO | Stopping reloader process [3404]
2026-05-28T16:31:50.499677+0300 | INFO | Stopping reloader process [3404]
2026-05-28T16:31:55.613365+0300 | INFO | Uvicorn running on http://localhost:8000 (Press CTRL+C to quit)
2026-05-28T16:31:55.613694+0300 | INFO | Uvicorn running on http://localhost:8000 (Press CTRL+C to quit)
2026-05-28T16:31:55.613889+0300 | INFO | Started reloader process [18896] using WatchFiles
2026-05-28T16:31:55.613979+0300 | INFO | Started reloader process [18896] using WatchFiles
2026-05-28T16:31:57.173088+0300 | INFO | Started server process [27604]
2026-05-28T16:31:57.173495+0300 | INFO | Started server process [27604]
2026-05-28T16:31:57.173870+0300 | INFO | Waiting for application startup.
2026-05-28T16:31:57.183820+0300 | INFO | Waiting for application startup.
2026-05-28T16:31:57.184325+0300 | INFO | Redis connected
2026-05-28T16:31:57.693384+0300 | INFO | Application started
2026-05-28T16:31:57.693690+0300 | INFO | Application startup complete.
2026-05-28T16:31:57.693810+0300 | INFO | Application startup complete.
2026-05-28T16:31:59.626715+0300 | INFO | HTTP GET /api/v1/public/vacancies origin=http://localhost:3000
2026-05-28T16:31:59.629355+0300 | INFO | HTTP GET /api/v1/public/professions origin=http://localhost:3000
2026-05-28T16:31:59.629800+0300 | INFO | HTTP GET /api/v1/public/companies origin=http://localhost:3000
2026-05-28T16:31:59.701313+0300 | INFO | HTTP GET /api/v1/public/professions -> 200
2026-05-28T16:31:59.703499+0300 | INFO | HTTP GET /api/v1/public/vacancies -> 200
2026-05-28T16:31:59.704875+0300 | INFO | HTTP GET /api/v1/public/companies -> 200
2026-05-28T16:32:02.146372+0300 | INFO | HTTP GET /api/v1/public/vacancies/1 origin=http://localhost:3000
2026-05-28T16:32:02.148245+0300 | INFO | HTTP GET /api/v1/applicants/me/favorite-vacancies/1/state origin=http://localhost:3000
2026-05-28T16:32:02.148666+0300 | INFO | HTTP GET /api/v1/applicants/me/applications origin=http://localhost:3000
2026-05-28T16:32:02.152228+0300 | INFO | 🔍 GET_SESSION: looking for key=session:3:bae5fc83-cfb4-4e04-bcda-493798a9bef7
